F,V,T1,T2,x,Status
4.297629714041524,-0.00011540070275000217,2.0085270404815674,0,48,drift4.00
4.241547004611119,-0.00012005006591667144,2.288527011871338,0,48,drift4.00
4.214644080963414,-0.00011842717499999447,2.590411424636841,0,48,drift4.00
4.194597957593959,-0.00012005006591666798,2.8704516887664795,0,48,drift4.00
4.180745797993059,-0.00011601476958333565,3.1504807472229004,0,48,drift4.00
4.167339274237661,-0.00011290057350000354,3.4524149894714355,0,48,drift4.00
4.156748869438704,-0.00012044482316666758,3.744394540786743,0,48,drift4.00
4.146233361420502,-0.00011803241774999834,4.0123960971832275,0,48,drift4.00
4.1372307683735805,-0.00011408484524999887,4.314098358154297,0,48,drift4.00
4.130358988739179,-0.00011715517941666281,4.594285726547241,0,48,drift4.00
4.123281242957697,-0.00012035709933333819,4.874282598495483,0,48,drift4.00
4.115600578091126,-0.00011645338875000341,5.176199913024902,0,48,drift4.00
4.109934636626904,-0.00011114609683333596,5.456218242645264,0,48,drift4.00
4.103901700936974,-0.0001200500659166645,5.736219644546509,0,48,drift4.00
4.098374318517151,-0.00011803241775000181,6.038205146789551,0,48,drift4.00
4.092476197032583,-0.00011912896566666428,6.318140029907227,0,48,drift4.00
4.088903620590502,-0.00012140978533333249,6.59814190864563,0,48,drift4.00
4.084413558584155,-0.00012040096125000288,6.899837255477905,0,48,drift4.00
4.080578843409426,-0.00011781310816666446,7.18017315864563,0,48,drift4.00
4.075523310708368,-0.00012140978533332902,7.4601099491119385,0,48,drift4.00
4.071681105855563,-0.00011526911699999767,7.762068510055542,0,48,drift4.00
4.067805197451419,-0.00011728676516667078,8.042040824890137,0,48,drift4.00
4.064097806803976,-0.00011535684083332706,8.322041511535645,0,48,drift4.00
4.061045762988152,-0.0001097425154999998,8.624076128005981,0,48,drift4.00
4.057761539151984,-0.00011276898775000252,8.903920412063599,0,48,drift4.00
4.053649705888456,-0.00011575159808333013,9.183923482894897,0,48,drift4.00
4.050500296257649,-0.00011882193224999754,9.485862493515015,0,48,drift4.00
4.047987509263271,-0.00011983075633333062,9.766009092330933,0,48,drift4.00
4.04451604347521,-0.00011509366933333195,10.045879602432251,0,48,drift4.00
4.041063301882339,-0.0001168481459999926,10.347826480865479,0,48,drift4.00
4.0385505148879615,-0.00011662883641666566,10.62780475616455,0,48,drift4.00
