i,Iter,F,V,T1,T2,x,Status
170,2,1.000667433401547,7.288797863999608e-05,804.9181966781616,805.7849159240723,52,bothold
171,2,1.0062864894810164,9.448909536000083e-05,806.7868089675903,807.6534931659698,52,bothold
172,2,1.0117545536504808,5.671872167999775e-05,808.6492829322815,809.5159904956818,52,bothold
173,2,1.016866708317791,7.680397055999724e-05,810.5206723213196,811.3873677253723,52,bothold
174,2,1.021428821027226,6.998256527999958e-05,812.3904712200165,813.257007598877,52,bothold
175,2,1.025969363463803,6.290851536000508e-05,814.2457094192505,815.1126065254211,52,bothold
176,2,1.0302187072167992,6.80877304800008e-05,816.1350033283234,817.0015599727631,52,bothold
177,2,1.034263133377646,6.189793680000388e-05,818.0080485343933,818.8747761249542,52,bothold
178,2,1.038059501400627,7.326694560000693e-05,819.892117023468,820.7587423324585,52,bothold
179,2,1.0413597531478778,6.265587072000131e-05,821.751672744751,822.6183574199677,52,bothold
180,2,1.044627649485842,8.413066512000245e-05,823.6213479042053,824.4879899024963,52,bothold
181,2,1.0476906282316565,6.240322608000448e-05,825.4856355190277,826.3522799015045,52,bothold
182,2,1.050678111022468,7.743558215999799e-05,827.3446004390717,828.2113020420074,52,bothold
183,2,1.0533743951296994,8.299376424000804e-05,829.2154939174652,830.0823512077332,52,bothold
184,-1,7.895145000026693e-07,0.055633335237601576,0.29508066177368164,0.0,11,bot2mid
185,-1,-7.544249666666461e-05,0.15475547972968284,0.6881067752838135,0.0,22,bot2mid
186,-1,-7.066154774999778e-05,0.3349009616440572,0.9790217876434326,0.0,27,bot2mid
187,-1,-5.702049166666362e-05,0.5308197055857329,1.2994658946990967,0.0,36,bot2mid
188,-1,-8.776769524999894e-05,0.7931007421166331,1.57926344871521,0.0,41,bot2mid
189,-1,-9.671552624999913e-05,1.1770104057569177,1.8595211505889893,0.0,46,bot2mid
190,-1,-0.0001603591673333335,1.4830798451570575,2.08713698387146,0.0,46,bot2mid
191,-1,-6.079261650000084e-05,1.436130798139897,2.3356244564056396,0.0,46,bot2mid
192,-1,-6.552970350000298e-05,1.4136542742348959,2.6010262966156006,0.0,46,bot2mid
193,-1,-7.342484850000192e-05,1.3999668875516604,2.881067991256714,0.0,46,bot2mid
194,-1,-7.083699541667043e-05,1.3899569328035652,3.1611711978912354,0.0,46,bot2mid
195,-1,-0.00011171630175000127,1.3822575437418056,3.462973117828369,0.0,46,bot2mid
196,-1,-6.811755658333446e-05,1.3746892240463693,3.7429983615875244,0.0,46,bot2mid
197,-1,-7.210899100000209e-05,1.3698696162046937,4.022967576980591,0.0,46,bot2mid
198,-1,-8.921513849999979e-05,1.3653009125785525,4.32497239112854,0.0,46,bot2mid
199,-1,-9.90402078333355e-05,1.3615785425749583,4.60504412651062,0.0,46,bot2mid
200,-1,-7.969710258333429e-05,1.3589159620190678,4.884941577911377,0.0,46,bot2mid
201,-1,-5.0134170750001233e-05,1.3553845788064027,5.18700647354126,0.0,46,bot2mid
202,-1,-6.952113791667061e-05,1.3531863582912016,5.4667181968688965,0.0,46,bot2mid
203,-1,-7.066154774999778e-05,1.3512652558647997,5.746891736984253,0.0,46,bot2mid
204,-1,-0.00012197999025000128,1.3492430427843762,6.048793792724609,0.0,46,bot2mid
205,-1,-7.127561458333473e-05,1.3473556439093148,6.32888650894165,0.0,46,bot2mid
206,-1,-0.00010114557983333453,1.346007501855699,6.608831405639648,0.0,46,bot2mid
207,-1,-8.053047899999818e-05,1.3445395249528733,6.910831928253174,0.0,46,bot2mid
208,-1,-7.03545143333345e-05,1.3430415893377452,7.190769672393799,0.0,46,bot2mid
209,-1,-0.00010342639949999927,1.341929372143512,7.470770835876465,0.0,46,bot2mid
210,-1,-7.381960575000152e-05,1.340285387805909,7.7727320194244385,0.0,46,bot2mid
211,-1,-0.0001174183509166718,1.33913197738226,8.052753925323486,0.0,46,bot2mid
212,-1,-8.377626083333478e-05,1.338188277944729,8.332759380340576,0.0,46,bot2mid
213,-1,-6.592446075000258e-05,1.3371097643018366,8.634769201278687,0.0,46,bot2mid
214,-1,-8.91274146666704e-05,1.33653680392905,8.91476035118103,0.0,46,bot2mid
215,-1,-7.066154775000125e-05,1.3357279186968807,9.194703817367554,0.0,46,bot2mid
216,-1,-7.974096449999551e-05,1.334802943454539,9.496756553649902,0.0,46,bot2mid
217,-1,-0.00010728624816667282,1.334177555335223,9.776623010635376,0.0,46,bot2mid
218,-1,-7.873214041666937e-05,1.3332338558976922,10.05679202079773,0.0,46,bot2mid
219,-1,-9.434698274999806e-05,1.3330653381409898,10.35863471031189,0.0,46,bot2mid
220,-1,-9.044327216666675e-05,1.3320879351521189,10.638533592224121,0.0,46,bot2mid
221,-1,-7.588111583333237e-05,1.331818306741396,10.918638944625854,0.0,46,bot2mid
222,-1,-7.697766375000525e-05,1.331267815402836,11.220451593399048,0.0,46,bot2mid
223,-1,-9.30311252500017e-05,1.330706089547163,11.50036096572876,0.0,46,bot2mid
224,-1,-6.763507549999853e-05,1.3303016469310784,11.780388832092285,0.0,46,bot2mid
225,-1,-0.00010382115674999887,1.3296800036508,12.082500696182251,0.0,46,bot2mid
226,-1,-9.07064436666688e-05,1.329425354596228,12.362554788589478,0.0,46,bot2mid
227,-1,-7.908303574999734e-05,1.3286838764667395,12.64242935180664,0.0,46,bot2mid
228,-1,-9.632076899999953e-05,1.3285116138709998,12.944422960281372,0.0,46,bot2mid
229,-1,-8.23726795000021e-05,1.3280772125426128,13.224414587020874,0.0,46,bot2mid
230,-1,-0.00010991796316666205,1.3280772125426128,13.504410743713379,0.0,46,bot2mid
231,-1,-7.697766374999832e-05,1.32746305894041,13.806301355361938,0.0,46,bot2mid
232,-1,-7.741628291666955e-05,1.3276390663751878,14.086299180984497,0.0,46,bot2mid
233,-1,-0.00011899737991666673,1.3267290704889971,14.366316795349121,0.0,46,bot2mid
234,-1,-7.342484850000192e-05,1.326354586585215,14.66828441619873,0.0,46,bot2mid
235,-1,-7.667063033333504e-05,1.3266953669376569,14.94840669631958,0.0,46,bot2mid
236,-1,-7.158264800000147e-05,1.3260549994621895,15.22826337814331,0.0,46,bot2mid
237,-1,-9.513649725000073e-05,1.3258153297637687,15.530156373977661,0.0,46,bot2mid
238,-1,-4.13617874166633e-05,1.3257853710514662,15.810241460800171,0.0,46,bot2mid
239,-1,-8.219723183333291e-05,1.325684260397445,16.090084314346313,0.0,46,bot2mid
240,-1,-6.395067450000111e-05,1.3250663619562046,16.392093658447266,0.0,46,bot2mid
241,-1,-7.838124508333447e-05,1.3254146319867222,16.67213797569275,0.0,46,bot2mid
242,-1,-6.452087941666296e-05,1.3245720432032122,16.95214581489563,0.0,46,bot2mid
243,-1,-6.355591724999804e-05,1.3248566509700868,17.254082202911377,0.0,46,bot2mid
244,-1,-6.824914233333548e-05,1.3243361183438296,17.534143209457397,0.0,46,bot2mid
245,-1,-9.175912966666658e-05,1.3242687112411486,17.814321279525757,0.0,46,bot2mid
246,-1,-8.131999350000432e-05,1.32407772445022,18.116084575653076,0.0,46,bot2mid
247,-1,-7.360029616666763e-05,1.3236620473170218,18.396015405654907,0.0,46,bot2mid
248,-1,-6.838072808333304e-05,1.32349352956032,18.6760196685791,0.0,46,bot2mid
249,-1,-7.421436300000112e-05,1.3235684263410763,18.97792387008667,0.0,46,bot2mid
250,-1,-8.526756600000032e-05,1.3231901975982563,19.25794792175293,0.0,46,bot2mid
