T,FL,FM,FR,xL,xM,xR
196.97949719429016,"[4.238288110265244, 3.8894648241356227, 3.8330455056947508, 4.209535957598261, 3.7565539297316457, 4.0356668079799976, 4.0473304170807545, 3.744347827184342]","[0.005903813081455184, 0.03697908834776395, 0.00573851906408121, 0.015160278054398221, 0.021276156697235593, 0.0007796985428617231, 0.05003731572030859, 0.008548517359438915]","[3.8969246546202543, 3.986368793841055, 4.116739402668421, 3.8797619415594364, 4.109478254834999, 4.040167298243234, 3.9081464285446352, 4.139513002691429]",327,0,401
197.3130750656128,"[4.209807204321534, 3.9136057825069575, 3.9277106121171754, 4.242899304560892, 3.7961559513295655, 4.132773134911883, 4.057095299118598, 3.806734573537229]","[0.0044161669250893515, 0.033673208000284297, 0.0017714626471056205, 0.025739095166333117, 0.01400321993278035, 0.0035896968382194278, 0.04854966956394274, 0.01003616351580476]","[3.9183780459462767, 3.9586444112043493, 4.047758498250904, 3.81441161105863, 4.079113454804321, 3.972506602522702, 3.87283084590026, 4.090665280902948]",328,0,400
197.646342754364,"[4.2732789375675155, 3.817041949021619, 3.8967884856640054, 4.1645090015348725, 3.734854191869772, 4.108360929817274, 3.9675838804383687, 3.7638775912600284]","[0.0049120489772113, 0.03334261996553632, -0.0013691236830000453, 0.03383850201765827, 0.01086263360267467, 0.005903813081455184, 0.04590496528595901, 0.010697339585300697]","[3.8526976632712238, 4.035546567803783, 4.08670465481199, 3.8731608980745067, 4.135552376600471, 3.9979206199396824, 3.9362008633555874, 4.128291228767049]",327,0,401
197.97974061965942,"[4.220114579805925, 3.86071267146864, 3.977891255922758, 4.210620944491355, 3.789917276694277, 4.174002636849442, 4.011797096331936, 3.827349324506009]","[0.005077342994585274, 0.03185497380917049, -0.0026914758219919108, 0.03830144048675581, 0.009374987446308825, 0.00656498915095112, 0.044417319129593166, 0.010201457533178748]","[3.887353141567106, 3.993299889500231, 4.0269652112733745, 3.813091402361644, 4.089675124380208, 3.9375210720525735, 3.8923039241808035, 4.0843942895922645]",328,0,400
198.31269478797913,"[4.27761888513989, 3.789917276694277, 3.917403236632785, 4.160982794132319, 3.7324129713603114, 4.093442360037236, 3.9936235658726167, 3.745432814077436]","[0.005242637011959261, 0.03218556184391845, -0.002195593769869969, 0.036483206295642, 0.01086263360267467, 0.005242637011959261, 0.04739261144232486, 0.011193221637422632]","[3.83421474151342, 4.044788028682685, 4.075482880887609, 3.873490950248753, 4.13192180268376, 3.997590567765436, 3.919698254643263, 4.130271541812528]",327,0,401
198.64602613449097,"[4.205196010025886, 3.897873472557099, 3.885667370009795, 4.2407293307747045, 3.77906740776334, 4.034853067810177, 4.1390118095471715, 3.7587239035178333]","[0.0040855788903413764, 0.034664972104528194, 0.0040855788903413764, 0.017639688315007965, 0.022763802853601425, -0.0008732416308780966, 0.047227317424950885, 0.008052635307316966]","[3.9097966894158676, 3.95006305467394, 4.056669906955559, 3.8121012458389045, 4.045118080856931, 4.002541350379134, 3.824313176286025, 4.090335228728701]",328,0,400
198.97945141792297,"[4.179427571314911, 3.971381334564196, 3.807819560430323, 4.246425511963446, 3.824636857273275, 3.9399167146644793, 4.207637230535347, 3.7576389166247397]","[0.00656498915095112, 0.04193790886898344, 0.010201457533178748, 0.00573851906408121, 0.03251614987866641, -0.00252618180461793, 0.03284673791341437, 0.013837925915406363]","[3.9150775242038116, 3.9441221155375032, 4.122350289630612, 3.8771215241654646, 4.027295263447621, 4.072512411319391, 3.8625992284986186, 4.109478254834999]",328,0,401
199.3126368522644,"[4.093442360037236, 4.051399117929856, 3.7733712265745982, 4.227438241334307, 3.879157448651233, 3.8834973962236075, 4.230421955290314, 3.7652338248763955]","[0.0035896968382194278, 0.04904555161606469, 0.01053204556792671, 0.0040855788903413764, 0.035326148174024116, 0.002763226751349518, 0.01995380455824372, 0.020119098575617708]","[4.0022112982048865, 3.903195645930938, 4.12631091572157, 3.902865593756691, 3.983728376447083, 4.0926455939484265, 3.8602888632788934, 4.091985489599934]",328,0,401
199.64597058296204,"[4.0467879236342075, 4.087746178848494, 3.7565539297316457, 4.208179723981893, 3.908180848041489, 3.84959155581443, 4.240458084051431, 3.774456213467692]","[0.00044911050811376196, 0.04954143366818664, 0.008383223342064927, 0.0055732250467072225, 0.03714438236513794, 0.005903813081455184, 0.013176749845910427, 0.024912625079463208]","[4.019704063439951, 3.880091993733683, 4.124330602676091, 3.919368202469016, 3.9632651416438, 4.102217107001575, 3.864909593718344, 4.072842463493637]",328,0,401
199.9793403148651,"[4.01369582339485, 4.123279499597313, 3.756011436285099, 4.185123752503653, 3.935305520368831, 3.822195636763814, 4.244798031623806, 3.7882897963546363]","[-0.001865005735121994, 0.04821908152919477, 0.008052635307316966, 0.006895577185699081, 0.039789086643121654, 0.009374987446308825, 0.008383223342064927, 0.02904497551381277]","[4.032576098235564, 3.871510637203274, 4.127301072244309, 3.936530915529834, 3.9470925851057217, 4.108818150486505, 3.86721995893807, 4.051059019993368]",328,0,401
200.312513589859,"[3.9792474895391257, 4.152574145710842, 3.752756475605818, 4.160711547409045, 3.9572765049539784, 3.8061920800906823, 4.24506927834708, 3.7975121849459326]","[-0.003022063856739879, 0.04392143707747122, 0.007556753255195017, 0.006730283168325107, 0.04160732083423546, 0.010201457533178748, 0.006399695133577132, 0.030863209704926592]","[4.044457976508438, 3.857978498059168, 4.123010393979104, 3.9530335242421586, 3.931910185090383, 4.110138359183491, 3.8685401676350555, 4.038186985197755]",328,0,401
200.64581727981567,"[3.963515179589267, 4.171561416339982, 3.7459753075239823, 4.131688148018789, 3.985214917451141, 3.7815086282728005, 4.2412718242212515, 3.827891817952556]","[-0.0026914758219919108, 0.04078085074736555, 0.009540281463682812, 0.006399695133577132, 0.04425202511221919, 0.01053204556792671, 0.005077342994585274, 0.033673208000284297]","[4.054029489561587, 3.852037558922731, 4.114098985274449, 3.9715164459999626, 3.9170578372492906, 4.111788620054724, 3.877451576339711, 4.01409317647776]",328,0,401
