"F","T","x","side"
"[-0.6069412184683793, 0.7190241742027171, 0.7328577570896616, 8.87622688320434, 0.9428027209032904, 0.6102542381700748, -1.07363040744531, 1.0027482467467168, 0.968299912890992]","75.29700517654419","0","L"
"[5.113323655920148, 5.258947685226627, -0.48803182902767545, -5.565152718575621, -5.565152718575621, -5.565152718575621, -0.6104993593434836, 5.258947685226627]","75.29707622528076","0","M"
"[-10.996983742837076, 10.023683165157973, 10.616126817930434, 5.884498847932657, -10.996983742837076, -10.996983742837076, -10.996983742837076, -4.166396991132362]","75.29711675643921","0","R"
"[1.4896361150225093, 7.8783101882814215, 0.6764384386487898, -0.04833280593779417, -3.7460915489790954, 0.5717372034652488, 0.9322240986956268, 4.387636106475751]","75.60086560249329","0","L"
"[5.258947685226627, -5.528181388668962, -5.565152718575621, -5.565152718575621, -5.551453520440564, 3.2851718237638994, 5.258947685226627, 5.258947685226627, -5.5304920967881275]","75.600914478302","0","M"
"[10.570909670058665, 10.616126817930434, -3.8559457356992906, -10.996983742837076, -10.996983742837076, -10.996983742837076, 0.2148625987263369, 10.616126817930434]","75.60094475746155","0","R"
"[4.413404545186727, 1.2064545359250567, -0.24999733353491788, -2.868400763423529, 0.252479810172431, 0.47354588964027, 7.6401555652473565, 0.8210129421535238]","75.9221704006195","0","L"
"[-5.565152718575621, -5.565152718575621, -5.340023727536857, 4.890176732465271, 5.258947685226627, 3.227814799735127, -5.535443614186341, -5.565152718575621]","75.92230820655823","0","M"
"[10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.996983742837076, 7.735101388932764, 10.616126817930434, 10.616126817930434, -10.996983742837076]","75.92234444618225","0","R"
"[1.097413353169141, 0.31920650409769286, -0.4281976292094618, 0.5975056421762239, -0.05592771418944999, 8.87622688320434, 0.907269400154472, -0.167688355502316, -1.4281294712490902]","76.22272276878357","0","L"
"[-5.565152718575621, 0.45451177623444444, 5.178118910730749, 5.258947685226627, -5.038641368565609, -5.565152718575621, -5.565152718575621, -5.565152718575621]","76.22286128997803","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, 10.371888208988027, 10.616126817930434, 4.363948481179047, -10.996983742837076, -10.996983742837076]","76.22339057922363","0","R"
"[0.42960392046997564, 0.6061855373209735, 1.8270670387746466, 7.442416703981032, 1.2053695490319631, 0.29696427278927223, -3.5659897257592434, -0.006560810553687152]","76.52460217475891","0","L"
"[2.962683195867259, 5.258947685226627, 5.258947685226627, -5.4941809692012304, -5.565152718575621, -5.565152718575621, -5.539569878684852, 4.674963921844346, 5.258947685226627]","76.52463912963867","0","M"
"[-10.996983742837076, -6.3603184427437816, 10.616126817930434, 10.616126817930434, -5.597702513792478, -10.996983742837076, -10.996983742837076, -10.996983742837076]","76.52466011047363","0","R"
"[0.6829483600073519, 7.708509739512259, 1.0599813053574088, -0.33312125194408015, 0.03765240533988065, -0.6466016501276528, 0.7681198311152065, 0.24000246090185356]","82.07792830467224","0","L"
"[5.258947685226627, 3.4817064104215647, -5.517122999812952, -5.565152718575621, -5.565152718575621, -2.9519068863785978, 5.231839466377293, 5.258947685226627, 0.11020433804443831]","82.0779983997345","0","M"
"[8.505113111449841, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.708942981426773, 10.38674055682912]","82.07807636260986","0","R"
"[8.87622688320434, 1.7793276154785245, 0.7130567462907018, -1.2287407257839753, 0.8427126800153976, 1.6759826139113505, 1.054285124168667, 8.042956949308389]","82.40759634971619","0","L"
"[-5.564657566835799, -5.565152718575621, -5.565152718575621, 3.2255006834918913, 5.258947685226627, 5.258947685226627, -5.525540579389914, -5.565152718575621]","82.40765643119812","0","M"
"[10.616126817930434, 6.729432414003689, -10.996983742837076, -10.996983742837076, -10.996983742837076, -7.1601753397035095, 10.576520557020855, 10.616126817930434, -2.9015223432001664]","82.40769362449646","0","R"
"[1.1581726191823876, 0.0699307654094179, -3.2755993049115495, 1.0480464495333783, 0.5291514679113216, 4.152193950674421, 5.061684213810206, 0.34660242314830847, -0.10176841042265833]","82.7078685760498","0","L"
"[-5.565152718575621, -5.558220594218122, 4.115939555085536, 5.258947685226627, 5.258947685226627, -5.501938346458431, -5.565152718575621, -5.565152718575621]","82.7079164981842","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, -0.22050221268208106, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076]","82.70794296264648","0","R"
"[-3.092237720185456, 1.3683888297192897, 0.8801447278271298, 7.2859073446522675, 2.4905365239014374, 1.0328566330300664, 0.9761660678659213, -0.6791992651900695]","83.00821280479431","0","L"
"[-5.37468434932435, 4.338094714436169, 5.258947685226627, 5.174317148331148, -5.557065240158539, -5.565152718575621, -5.565152718575621, -0.5377120535897486, 5.0672066250728065]","83.0082459449768","0","M"
"[-10.996983742837076, -10.996983742837076, 8.922299059697414, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076]","83.00826525688171","0","R"
"[0.6192053800380978, 0.6859320739633595, 8.87622688320434, 1.9976812277136293, 0.7282465627940135, -0.4868733363218116, 0.5649560353834133, 0.46242477398605975]","83.32847476005554","0","L"
"[5.258947685226627, -1.0503591548847624, -5.565152718575621, -5.565152718575621, -5.565152718575621, 1.176020162071879, 5.258947685226627, 5.258947685226627]","83.32851052284241","0","M"
"[-10.996983742837076, 9.93720949550539, 10.616126817930434, 8.081326119717339, -10.996983742837076, -10.996983742837076, -10.996983742837076, -5.167289202119876, 10.509850017823062]","83.3285276889801","0","R"
"[1.0900896916407588, 8.875955636481068, 0.9767085613124681, 0.4480486976525684, -3.287008470183395, 0.7765284795366826, 0.7553712351213556, 2.6456896496138347, 6.069908284217516]","83.63358426094055","0","L"
"[-5.545841800722589, -5.565152718575621, -5.565152718575621, -5.565152718575621, 3.729812730499913, 5.258947685226627, 5.258947685226627, -5.518278353872535]","83.63361930847168","0","M"
"[10.616126817930434, -0.3671591220957932, -10.996983742837076, -10.996983742837076, -10.996983742837076, 1.4726914347797357, 10.616126817930434, 10.616126817930434]","83.63363671302795","0","R"
"[0.2907255981539835, -2.8521019558923206, 0.6683010369505872, 1.2352066885920396, 7.391693566728902, 1.8775189293035033, 1.7437942947297058, 0.10763405994442354]","96.29006052017212","0","L"
"[-5.36692697206715, 4.349665295652348, 5.258947685226627, 4.158750705585398, -5.5501331158010405, -5.565152718575621, -5.565152718575621, -1.3151002851092317]","96.29012680053711","0","M"
"[-10.996983742837076, -10.996983742837076, -10.996983742837076, 9.095576451176823, 10.616126817930434, 10.616126817930434, -10.996983742837076, -10.996983742837076, -10.996983742837076]","96.29016661643982","0","R"
"[-1.2013043997731083, 0.42553521962087437, 0.38294948406694707, 8.87622688320434, 1.1966896538872134, 0.8196567085371567, -0.6270430810902029, 0.07074450557923814, 1.3277018212282763]","96.59510493278503","0","L"
"[5.028527825007295, 5.258947685226627, 0.792703335781613, -5.565152718575621, -5.565152718575621, -5.565152718575621, -0.7336270919790536, 5.199937721024115]","96.59516954421997","0","M"
"[-10.996983742837076, 9.91476594765663, 10.616126817930434, 8.05492194577762, -10.996983742837076, -10.996983742837076, -10.996983742837076, -7.589599953110402]","96.59520697593689","0","R"
"[1.337195456542846, 8.510586300231768, 0.9935258581554204, 0.8462388874179522, -2.3927472303044337, 1.1798723570442613, 1.3233618736559016, 3.4930644131200057]","96.89524245262146","0","L"
"[5.258947685226627, -5.462821359012547, -5.565152718575621, -5.565152718575621, -5.5118413812548575, 4.151808356855691, 5.258947685226627, 5.258947685226627, -5.462491257852665]","96.89527606964111","0","M"
"[10.611176035316737, 10.616126817930434, -1.0421104714874392, -10.996983742837076, -10.996983742837076, -10.996983742837076, 3.3322053844844985, 10.616126817930434]","96.89529490470886","0","R"
"[5.616383762904354, 1.3895460741346168, 0.06721829817668368, -3.579300418576397, 0.01568142075473347, 0.4860232389108474, 6.636542689135695, 1.9917137998016141]","97.22028708457947","0","L"
"[-5.565152718575621, -5.565152718575621, -4.333875392219921, 4.816620894733849, 5.258947685226627, 5.258947685226627, -5.551618571020504, -5.565152718575621]","97.22033262252808","0","M"
"[10.616126817930434, -8.972129694662137, -10.996983742837076, -10.996983742837076, -10.996983742837076, 6.670023022639319, 10.616126817930434, 10.616126817930434, -10.996983742837076]","97.22035765647888","0","R"
"[1.241987856673875, 0.28475817024196826, -1.0967203847811884, 1.0477752028101048, 0.5145041448545568, 8.875955636481068, 1.3092570440456837, 0.3683021610101822, -0.5354981121232496]","97.51613783836365","0","L"
"[-5.565152718575621, 1.2419724750040981, 5.2113430082229195, 5.258947685226627, -1.7521542207915228, -5.563832313936097, -5.565152718575621, -5.565152718575621]","97.51620888710022","0","M"
"[-10.996983742837076, -10.996983742837076, -10.982482834939988, 8.987979442372467, 10.616126817930434, 10.246798434948605, -10.996983742837076, -10.996983742837076]","97.51624703407288","0","R"
"[-1.5226625549300983, 0.5668547624463273, 0.3037454408711078, 8.73734856088835, 1.2994921620078403, 1.2097094966043378, -0.36544722021430986, 0.11956891576845413]","101.84482169151306","0","L"
"[4.999105489914726, 5.258947685226627, 1.5429728806421208, -5.564657566835799, -5.565152718575621, -5.565152718575621, 1.7439704057688838, 5.258947685226627]","101.84489941596985","0","M"
"[-10.996983742837076, -10.996983742837076, 9.584053669061639, 10.616126817930434, 10.447140104716228, -10.996983742837076, -10.996983742837076, -10.996983742837076, -10.426175277433593]","101.84493947029114","0","R"
"[0.7721885319643078, 0.5728221903583426, 8.87622688320434, 0.7955157501658221, 0.20528288032285552, -2.892034034343781, 0.8725498195754741, 1.083308523558923, 3.0200101277311573]","102.14610147476196","0","L"
"[5.258947685226627, -5.5184434044524755, -5.565152718575621, -5.565152718575621, -5.565152718575621, 2.0727402063257356, 5.258947685226627, 5.258947685226627]","102.14682221412659","0","M"
"[10.32073012197982, 10.616126817930434, 0.47725407725230173, -10.996983742837076, -10.996983742837076, -10.996983742837076, -3.299308612104325, 10.616126817930434]","102.1468677520752","0","R"
"[5.98934800740531, 1.228968013956751, 0.21965895665634694, -3.3337317184395254, -0.026361821352646975, 0.9932546114321469, 6.477592109297469, 2.5594331916128863]","102.44978761672974","0","L"
"[-5.478666214686829, -5.565152718575621, -5.565152718575621, -5.462821359012547, 4.253960059592812, 5.258947685226627, 5.258947685226627, -5.529336742728544, -5.565152718575621]","102.44982242584229","0","M"
"[10.616126817930434, -8.983334941673522, -10.996983742837076, -10.996983742837076, -10.996983742837076, 7.0611348491214185, 10.616126817930434, 10.616126817930434]","102.44984126091003","0","R"
